Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
163	KA06MH0166	Nallur Amanikere Dam	Karnataka Water Resources Department	11.84083333	76.70527778	1987	Cauvery	Gundlu	Gundlupet	II	Earthfill_Embankment	15.04	1802	11500	6541000	1950000	5890000	I	1005
80	KA06LH0082	Muthurayanakere	Karnataka Water Resources Department	12.81888889	77.00611111	1970	Cauvery	Local Nala	Kunigal	II	Earthfill_Embankment	12.06	1140	129000	6795000		5872000	I	144.35
167	KA06HH0170	Beeranahalli Tank	Karnataka Water Resources Department	17.56972222	77.36194444	1988	Krishna	Kal	Chincholi	II	Earthfill_Embankment	30.02	485	684000	6931000	650000	5798000	I	444
97	KA06MH0099	Majjur Tank	Karnataka Water Resources Department	15.18194444	75.63833333	1974	Krishna	Dodda Halla Nala T.B.Sub Basin	Gadag	II	Earthfill_Embankment	19.51	413.5	684150	6375600	1024000	5796000	I	276
85	KA06MH0087	H.B.Halli Pickup	Karnataka Water Resources Department	14.99777778	76.18944444	1972	Krishna	Hagari	Hagaribommanahalli	II	Composite_Masonry_and_Earth_fill	15.24	1759	126050	6370000	13520000	5620000	I	2701
101	KA06MH0103	Kanakanala Dam	Karnataka Water Resources Department	15.84611111	76.45388889	1975	Krishna	kanakanala	sindhnur	II	Earthfill_Embankment	20.12	975.65	208110	6370000	1930000	5620000	I	499
11	KA06LH0013	Nittur Tank	Karnataka Water Resources Department	13.33194444	76.86833333	1906	Cauvery	Shimsha Valley	Gubbi	II	Earthfill_Embankment	10.5	1350	286000	5410000	2520000	5410000	I	65.35
10	KA06LH0012	Nidasale Tank	Karnataka Water Resources Department	12.76833333	77.08222222	1906	Cauvery	Nagini	Kunigal	II	Earthfill_Embankment	11	870	198570	6632000	1248000	5306000	I	111.68
33	KA06LH0035	Yerakasandra Tank	Karnataka Water Resources Department	13.41916667	77.24416667	1952	Pennar	Local Stream	Tumkur	II	Earthfill_Embankment	10.6	600	157000	5600000	971000	5300000	I	149.62
81	KA06LH0083	Chittawadagi Tank	Karnataka Water Resources Department	15.98277778	76.01138889	1971	Krishna	Chittawadagi	Kushtagi	II	Other	12	481	45680	5785200	2080000	5204500	I	892
186	KA06MH0189	Durgadhalla Tank	Karnataka Water Resources Department	15.26972222	74.87444444	1991	West Flowing Rivers from Tapi to Tadri	Tattihalla Nala	haliyal	II	Earthfill_Embankment	22.78	962.77	866000	5480000	850000	5180000	I	254.84
92	KA06MH0094	Kachavanahalli Tank	Karnataka Water Resources Department	12.22722222	76.14833333	1973	Cauvery	Karigale and Hebbahalla	Hunsur	II	Earthfill_Embankment	16.3	722	23440	5740000	1260000	5100000	I	423.59
26	KA06MH0028	Markandeya Tank	Karnataka Water Resources Department	12.90833333	78.08416667	1940	East flowing rivers between Pennar and Cauvery Basin	Markandeya	Malur	II	Masonry_Gravity	18.60	206.5		5940000	1490000	5010000	I	231
3	KA06MH0003	Kottur Tank	Karnataka Water Resources Department	14.81388889	76.2325	1888	Krishna	Krishna T.Bhadra	Kudligi	II	Earthfill_Embankment	15	1777	39900000	4912000	2661600	4870000	I	182
223	KA06LH0228	Turuvekere Tank	Karnataka Water Resources Department	13.17666667	76.66833333		Cauvery	Shimsha Valley	Turuvekere	II	Earthfill_Embankment	12.2	870	179960	5070000	2740000	4870000	I	309.50
231	KA06MH0236	Varahi Diversion weir	Karnataka Water Resources Department	13.65777778	74.94833333	2009	West Flowing Rivers from Tadri to Kanyakumari	Varahi	Kundapur	III	Concrete_Gravity_or_RCC	22.5	147.20		6796036.7778857	1225700	4813859.3843357	I	4528
110	KA06LH0112	Balakundi Tank	Karnataka Water Resources Department	15.91305556	76.09055556	1979	Krishna	balakundi	hungund	II	Other	14.15	1640	120350	7455100	2509000	4775000	I	514.82
32	KA06LH0034	K.Honnamachanahalli	Karnataka Water Resources Department	12.88666667	76.98444444	1952	Cauvery	Local Halla	Kunigal	II	Earthfill_Embankment	10	630	127260	5210000	1111000	4750000	I	93.98
154	KA06MH0156	Chiklihole Dam	Karnataka Water Resources Department	12.39805556	75.87722222	1985	Cauvery	Chiklihole	Somavarapet	II	Earthfill_Embankment	25.3	464.8	285330	5097000	1072400	4729000	I	555
174	KA06MH0177	Asundinala Tank	Karnataka Water Resources Department	14.70277778	75.64555556	1989	Krishna	CHANDRAPURA HALLA	Ranebennur	II	Earthfill_Embankment	15.7	1595	332430	5500000	2267200	4570000	I	707.90
