Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
126	MH09LH0126	PAREWADI	18.305	74.97027778	1966	Krishna	Local Nalla	Karmala	III	Earthfill_Embankment	12.58	1049.73	405000	5194000	1300000	4049000	I	470
409	MH09MH0412	GUHAGHAR	17.48944444	73.21555556	1974	West Flowing Rivers from Tapi to Tadri	Local Nala	Guhagar	IV	Earthfill_Embankment	19.13	116	49000	4474000	911000	4049000	I	231.66
2038	MH09LH2077	Jadhavjawla	18.72305556	75.98305556	1988	Godavari	Local Nalla	Kaij	III	Earthfill_Embankment	13.85	1200	249250	4796000	1567000	4045000	I	251.05
2227	MH09MH2266	Ambehol	18.12972222	75.97722222	2011	Krishna	Local Nalla	Osmanabad	IV	Earthfill_Embankment	20.45	700		4150000	384500	4020000	I	105.19
1869	MH09MH1908	Kasarde	16.435	73.70027778	2009	West Flowing Rivers from Tapi to Tadri	Local Nala	Shahuwadi	III	Earthfill_Embankment	29.85	324	73640	4270000	39570	3990000	I	268.80
1209	MH09MH1222	CHINCHANI (AMBAK)	17.19361111	74.33444444	1989	Krishna	Local Nalla	Khanapur.	III	Earthfill_Embankment	17.46	1447	30000	4330000	1037000	3980000	I	628.00
421	MH09MH0424	KESARNALA	21.365	78.84694444	1974	Godavari	Kesarnala	Kalmeshwar.	II	Earthfill_Embankment	18.82	600	24980	4300000	83000	3930000	I	325.00
1500	MH09HH1514	ERANDOL	16.06083333	74.17583333	1999	Krishna	Local Nalla	Ajara	III	Earthfill_Embankment	30.27	442	385000	4205000	660000	3930000	I	586.34
1084	MH09MH1096	SHIVANI ARMAL	20.12888889	76.25722222	1985	Godavari	Local Nalla	Deulgaon Raja	II	Earthfill_Embankment	15.7	1625	339000	4270000	163000	3920000	I	823.00
1531	MH09MH1545	WATEPHAL	18.46444444	75.41166667	2000	Krishna	Local Nalla	Paranda	III	Earthfill_Embankment	15.06	680	167770	4266000	114200	3916000	I	628.21
2300	MH09MH2339	Sukhapuri	19.52527778	75.8075		Godavari	Kukdi	Ambad	IV	Earthfill_Embankment	15.59	2440		3940000		3900000		
210	MH09LH0212	SANGRAMPUR	21.41166667	80.02916667	1970	Godavari	Kumbhari	Gondia	II	Earthfill_Embankment	14.18	451.104	78000	4330000	14230	3870000	I	354
2229	MH09MH2268	Chandegaon	18.40638889	77.21638889	2014	Godavari	Local Nalla	Udgir	III	Earthfill_Embankment	18.50			4528000		3864000	I	
32	MH09LH0032	KHAIRI	20.27527778	78.76888889	1913	Godavari	Local Nalla	Shindewahi	II	Earthfill_Embankment	12.37	335	110000	3990000	1518000	3860000	I	33
1615	MH09HH1629	PHAYE	16.2825	74.06	2004	Krishna	Local Nala	Bhudargarh	III	Earthfill_Embankment	34.13	355.65	3932420	3920000	373300	3860000	I	190.40
1898	MH09HH1937	Ghoti Shilwandi	19.44833333	73.88722222	2007	Godavari	Local Nalla	Akola	III	Earthfill_Embankment	32.20	180	449500	4060000	267660	3860000	I	312
1442	MH09MH1456	HERE	15.88194444	74.17444444	1998	Krishna	Local Nalla	Chandgad	III	Earthfill_Embankment	27.32	523	694000	3926000	370000	3851000	I	72.45
512	MH09MH0518	MOTSAWANGA	20.25388889	77.25722222	1975	Godavari	Madan	Mangul Pir	II	Earthfill_Embankment	21	270	790000	4680000	714000	3840000	I	737.00
2173	MH09LH2212	Sukali	20.65833333	77.18361111	2015	Tapi	Local Nalla	Akola	III	Earthfill_Embankment	11.80	1302	208900	4590000	146300	3840000	I	695.65
1109	MH09MH1121	KHOLGHAR	20.65527778	74.81666667	1986	Tapi	Shivar river	Navapur	III	Earthfill_Embankment	26	675	381000	4314000	68000	3815000	I	470.99
1121	MH09MH1133	SHIRPUR	19.79972222	78.29944444	1986	Godavari	Local Nalla	Kinwat	II	Earthfill_Embankment	28.4	1487.00	1460000	6054000	1650000	3801000	I	975.00
337	MH09MH0339	DONGASTE	19.51277778	73.05666667	1973	West Flowing Rivers from Tapi to Tadri	Local Nala	Vada	III	Earthfill_Embankment	17.94	361	105000	4029000	820000	3797000	I	177
621	MH09LH0628	PARADGAON	20.925	79.22555556	1977	Godavari	Local Nalla	Umred	II	Earthfill_Embankment	14.28	500	129000	4085000	65000	3777000	I	355.00
990	MH09MH1002	SORDI	17.05277778	75.37166667	1983	Krishna	Savalodha	Jath	III	Earthfill_Embankment	18.08	620.00	219000	4410000	712000	3750000	I	921.00
1189	MH09LH1202	WAGHEVABULGAON	18.74361111	75.83	1988	Godavari	Local Nalla	Kaij	III	Earthfill_Embankment	12.77	1320	229000	4853000	2008000	3742000	I	691.60
1224	MH09MH1237	KHED	19.65055556	73.69916667	1990	Godavari	Local Nalla	Igatpuri	III	Earthfill_Embankment	19.01	417	208540	3797000	527000	3716000	I	216.00
304	MH09MH0306	KONAD	20.2625	76.17361111	1972	Godavari	Koli	Jafrabad.	II	Earthfill_Embankment	16.16	1002.00	183000	4030000	125000	3710000	I	620.00
1417	MH09MH1431	TALEGAON TRAMBAK	19.93527778	73.49555556	1997	Godavari	Local Nalla	Trivakeshwar	III	Earthfill_Embankment	18	1225	186000	4250000	1200000	3710000	I	216
1890	MH09HH1929	Sonurle	16.80972222	73.93416667		Krishna	Local Nalla	Shahuwadi	II	Earthfill_Embankment	32.32	357	64530	3830000	34046	3706000		353.5
601	MH09MH0608	SHIRWAL	16.35277778	74.00916667	1977	West Flowing Rivers from Tapi to Tadri	vahal khurd	savantwadi	III	Earthfill_Embankment	25.25	185	153000	3752000	453000	3680000	I	159
714	MH09MH0722	BETEKAR BOTHALI	21.4275	79.54888889	1978	Godavari	Bodha Nalla	Tumsar	II	Earthfill_Embankment	20.7	510	285000	4156000	1180000	3666000	I	483.60
1590	MH09MH1604	MORAVANE	17.55083333	73.59888889	2002	West Flowing Rivers from Tapi to Tadri	Local Nala	Chiplun	IV	Earthfill_Embankment	24.37	525	345000	3841000	377730	3662000	I	281.02
2120	MH09MH2159	Hirabambai	21.34611111	76.80388889	2010	Tapi	Local Nalla	Dharni	III	Earthfill_Embankment	22.20	495	624260	4930000	584000	3660000	I	212
597	MH09MH0604	THAKURWADI	19.22972222	73.42027778	1977	West Flowing Rivers from Tapi to Tadri	Local Nala	Murbad	III	Earthfill_Embankment	18	690	220580	3741000	560000	3656000	I/S	112.02
1907	MH09MH1946	Waghera	20.06555556	73.49583333	2001	Godavari	Local Nalla	Trimbakeshwar	III	Earthfill_Embankment	14.82	2085	297000	3694000	1158000	3652000	I	1808
263	MH09MH0265	BODHEGAON	18.56416667	76.3575	1971	Godavari	Bodhegaon	Majalgaon	II	Earthfill_Embankment	17.1	1000	4199000	4199000	1166000	3650000	I	751
1929	MH09MH1968	Chirda	21.52944444	74.60555556	2010	Tapi	Local Nalla	Shahada	III	Earthfill_Embankment	25.14	1295	635000	4789000	615000	3649000	I	952
694	MH09MH0701	KONDGAON	18.58916667	73.30666667	1978	West Flowing Rivers from Tapi to Tadri	Local Nala	Sundargarh	III	Earthfill_Embankment	22.75	330.19	2343330	3769000	670000	3641000	I/S	280
870	MH09MH0880	KALDARI	19.6	78.6	1981	Godavari	Local Nalla	Soygaon	II	Earthfill_Embankment	16	1222.00	183000	3900000	1041000	3641000	I	360.00
235	MH09MH0237	MUSAI	19.45416667	73.46944444	1971	West Flowing Rivers from Tapi to Tadri	Local Nala	Shahapur	III	Earthfill_Embankment	17.9	403	148547	3803000	534000	3640000	I/S	100.58
2219	MH09MH2258	Jaoli	20.71194444	79.40388889	2000	Godavari	Local Nalla	Bhivapur	II	Earthfill_Embankment	19.54	1880	281000	3793000	1630000	3630000	I	198
1552	MH09MH1566	SAKHARPA	16.9975	73.69444444	2001	Krishna	Local Nalla	Sangneshwar	IV	Earthfill_Embankment	29.52	346	711630	3692000	255860	3610000	I	104
1272	MH09MH1285	NANDURDE	21.50111111	74.84444444	1992	Tapi	Local Nalla	Shirpur	III	Earthfill_Embankment	21.06	545	360000	3880000	13000	3600000	I	130
1475	MH09MH1489	GURDHAL	18.38138889	77.18666667	1998	Godavari	Lendi Nalla	Udgir	II	Earthfill_Embankment	22.7	192	617000	3765000	700000	3592000	I	1765.8
2027	MH09MH2066	Chehedi	19.93138889	73.85805556	2008	Godavari	Darna	Nashik	III	Earthfill_Embankment	24.00	147.50		3880000		3580000	S	191
708	MH09MH0716	RENGEPAR	21.26638889	80.12666667	1978	Godavari	Goredoh	Goregaon	II	Earthfill_Embankment	17.17	1034	183000	3960000	1316000	3570000	I	402
1211	MH09MH1224	KAZIKANBAS	17.72944444	76.295	1989	Krishna	Local Nalla	Akkalkot	III	Earthfill_Embankment	20	805	357000	4030980	662500	3567990	I	692.15
533	MH09MH0539	PELHAR	19.44361111	72.89638889	1975	West Flowing Rivers from Tapi to Tadri	Tr. of Amba	Vasai	III	Earthfill_Embankment	26	701	401000	3680000	476800	3567000	S	126.00
555	MH09LH0561	KARANJIKHED	18.05055556	76.26416667	1976	Godavari	Local Nalla	Osmanabad	III	Earthfill_Embankment	11.6	555	160000	3789000	1410000	3562000	I	200.00
271	MH09MH0273	DONWAT	18.78166667	73.25555556	1972	West Flowing Rivers from Tapi to Tadri	Local Nala	Khalapur	III	Earthfill_Embankment	20	620	218000	3670000	600000	3560000	I	162
1564	MH09MH1578	KHEMKUND	20.18777778	78.56583333	2001	Godavari	Local Nalla	Ralegaon	II	Earthfill_Embankment	17.13	555	253000	3730000	729000	3550000	I	266.00
1900	MH09HH1939	Padoshi	19.66416667	73.8625	2010	Godavari	Adhala	Akola	III	Earthfill_Embankment	30.91	255	119009	4140000	455500	3540000	I	721.23
190	MH09LH0191	CHINCHOLI TAPSE	18.135	76.53583333	1969	Godavari	Local Nalla	Ausa	II	Earthfill_Embankment	13.71	1935	317000	3810000	1280000	3537000	I	510
1218	MH09MH1231	HALDANI	21.14416667	73.96527778	1989	Tapi	Local Nalla	Nawapur	III	Earthfill_Embankment	19.42	1230	332000	3620000	62000	3520000	I	410.00
1936	MH09LH1975	Ranknalla	20.35	74.45	2007	Tapi	Rankanalla	Nandurbar	III	Earthfill_Embankment	14.87	3098	630000	6770000	1937500	3520000	I	1188.42
1168	MH09MH1181	DIWALWADI	16.72583333	73.73944444	1988	West Flowing Rivers from Tapi to Tadri	Local Nala	Rajapur	III	Earthfill_Embankment	28	673	730000	3538000	468000	3511000	I	89.00
1847	MH09MH1886	Nampada	19.96222222	73.52916667		Godavari	Kutarkund Nalla	Shahapur	III	Earthfill_Embankment	29.82	300	502000	3533000	340000	3504000		100.45
793	MH09MH0801	BHIWAPUR	20.93083333	77.98972222	1979	Godavari	Bhogwati	Tivsa	II	Earthfill_Embankment	17.9	1010	265000	4047000	900000	3488000	I	787.70
1620	MH09MH1634	CHOLMUKH	20.14416667	73.57111111	2004	West Flowing Rivers from Tapi to Tadri	Local Nala	Peint	III	Earthfill_Embankment	23.44	400	599470	3626000	5400000	3486000	I	618.82
2208	MH09LH2247	Nagzari Latur Type Barrage	18.8275	76.91555556	2012	Godavari	Manjara	Latur	III	Earthfill_Embankment	13.03	235	9650	3486000	1050000	3486000	S	5987
2245	MH09MH2284	Nagzari	18.82555556	76.91944444	2011	Godavari	Local Nalla	Ahmedpur	III	Earthfill_Embankment	17.33	723		3480000		3480000	S	127.28
1023	MH09MH1035	EKLAHARE	20.41083333	73.75416667	1984	Godavari	Local Nalla	Dindori.	III	Earthfill_Embankment	17.4	510	246840	3540000	751300	3472000	I	188.00
1668	MH09MH1683	SAI	18.18694444	73.19166667		West Flowing Rivers from Tapi to Tadri	Local Nala	Panvel	III	Other	26.4	307	296460	3470000	124380	3470000	I	55
2092	MH09LH2131	Sai Barrage	18.46861111	76.51083333	2013	Godavari	Manjara	Latur	III	Earthfill_Embankment	13.70	730	167600	3470000	3388000	3470000	I	5986
2194	MH09MH2233	Bhimadi	21.45388889	78.33944444		Godavari	Local Nalla	Warud	III	Earthfill_Embankment	21.50	1230		3593800	4886000	3470000		155.67
828	MH09LH0838	MHASWA	20.88416667	75.15666667	1880	Tapi	Local Nalla	Parola	III	Earthfill_Embankment	14.5	1257	108000	3463000	627000	3463000	I	890
984	MH09MH0996	DUDHEBHAVI	17.15805556	75.00416667	1983	Krishna	Local Nalla	Kawathe Mahankal	III	Earthfill_Embankment	19.33	480	26000	3984000	1173000	3456000	I	568.00
2294	MH09MH2333	Charner	20.41666667	75.45		Godavari	Local Nalla	Sillod	IV	Earthfill_Embankment	17	1730		4214000		3453000		
1553	MH09HH1567	PANHALE	16.81944444	73.56166667	2001	West Flowing Rivers from Tapi to Tadri	Local Nala	Lanja	III	Earthfill_Embankment	36.5	200	587750	3526000	257140	3447000	I	104.30
824	MH09MH0834	SUKHANI	18.67666667	76.71916667	1980	Godavari	Local Nalla	Ahmedpur	II	Earthfill_Embankment	16.82	1080.00	128630	3830000	920000	3440000	I	577
1914	MH09LH1953	Fagane	20.89138889	74.83388889	2007	Tapi	Kot	Dhule	III	Earthfill_Embankment	13.73	2430	20917	4155000	104080	3435000	I	794.91
165	MH09MH0166	SAKHARE	19.90916667	72.81333333	1968	West Flowing Rivers from Tapi to Tadri	Local Nala	Dahanu	III	Earthfill_Embankment	17.37	94.5	3420000	4070000	4506570	3420000	I	690.40
1265	MH09MH1278	VIDRUPA	19.88722222	76.31611111	1991	Godavari	Vidrupa	Shindkhed Raja	II	Earthfill_Embankment	16.36	690	249620	4566000	176000	3411000	I	920.00
2207	MH09MH2246	Karsa Poharegaon Barrage	18.52527778	76.45916667	2008	Godavari	Manjara	Latur	III	Earthfill_Embankment	22.70	508	102130	3410000	2849000	3410000	I	5746
709	MH09LH0717	CHATGAON	18.97916667	76.23944444	1978	Godavari	Local Nalla	Majalgaon	II	Earthfill_Embankment	14.7	1428	171000	3660000	720000	3400000	I	440.00
1937	MH09LH1976	Behed	20.90138889	74.31722222	2002	Tapi	Local Nalla	Sakri	III	Earthfill_Embankment	13.18	1650	910000	4428000	96700	3399000	I	946
717	MH09MH0725	RAJUR	20.40027778	78.39888889	1990	Godavari	Local Nalla	Kalam	II	Earthfill_Embankment	17.02	617	163000	3703000	946000	3390000	I	532.00
93	MH09MH0093	SALEGAON	21.15388889	80.33722222	1964	Godavari	Local Nalla	Deori	II	Earthfill_Embankment	17.27	178	42000	3393000	704000	3376000	I	87
186	MH09MH0187	NIGNOOR	19.65222222	77.84472222	1969	Godavari	Local Nalla	Umarkhed	II	Earthfill_Embankment	18.46	1098	210000	3630000	833000	3370000	I	443
256	MH09LH0258	DUDHKHEDA	21.56222222	74.63972222	1971	Tapi	Mhais	Shahada	III	Earthfill_Embankment	12.4	1165.00	150000	3590000	967000	3370000	I	463
1751	MH09LH1780	SUNA	19.41333333	77.91111111		Godavari	Local Nalla	Himayat nagar	II	Earthfill_Embankment	12.4	2084	99000	4334000	870000	3355000	I	736.00
2151	MH09MH2190	Kupta	20.30416667	77.58805556	2013	Godavari	Local Nalla	Manora	II	Earthfill_Embankment	17.30	1130		3637000		3355000	I	290
574	MH09MH0580	ASOLA	20.27805556	77.52694444	1976	Godavari	Local Nalla	Manora	II	Earthfill_Embankment	18	2959	153000	3560000	701000	3340000	I	414.00
585	MH09MH0591	DIGHANCHI	17.53388889	74.88305556	1976	Krishna	Local Nalla	Atpadi	III	Earthfill_Embankment	15.8	880.00	169000	4040000	640000	3335000	I	1301.00
1014	MH09MH1026	VESRAF	16.585	73.8675	1984	Krishna	Rup	Gaganbawada	III	Earthfill_Embankment	19.21	603	22000	3370000	270000	3320000	I	106.00
1496	MH09LH1510	HALADWADHONA	18.60916667	77.21666667	1999	Godavari	Local Nalla	Udgir	II	Earthfill_Embankment	14.15	1108	295000	3694000	1150000	3317000	I	442.00
2226	MH09LH2265	Goji	20.62944444	78.74388889		Godavari	Local Nalla	Wardha	II	Earthfill_Embankment	11.98	1680	179210	3620000	129000	3310000		258.83
1259	MH09MH1272	ADARE	17.46083333	73.57	1991	West Flowing Rivers from Tapi to Tadri	Local Nala	Chiplun	IV	Earthfill_Embankment	29.8	445	547000	3424000	250000	3289000	I	242.81
942	MH09LH0953	DEOCOPE	19.71916667	72.81166667	1983	West Flowing Rivers from Tapi to Tadri	Local Nala	Palghar	III	Earthfill_Embankment	14.21	739.6	216700	3340000	539000	3285000	I	101.23
1987	MH09MH2026	Pimprane	21.73444444	74.48138889		Tapi	Local Nalla	Nawapur	III	Earthfill_Embankment	18.13	873	830000	3540000	801400	3280000		227.81
143	MH09MH0143	DURUG	20.38638889	78.35	1967	Godavari	Local Nalla	Kalamb	II	Earthfill_Embankment	15.55	503	265000	3590000	142000	3270000	I	354
1934	MH09LH1973	Khede	20.92222222	74.62972222	2003	Tapi	Panzara	Dhule	III	Earthfill_Embankment	14.37	2400	281400	4160000	1290000	3270000	I	803.41
2242	MH09MH2281	Malhipparga	18.22	77.24555556	2012	Godavari	Local Nalla	Jalkot	III	Earthfill_Embankment	21.40	696		4075000	840000	3270000	I	819.62
1360	MH09MH1374	MANDWA	20.02388889	76.33083333	1995	Godavari	Local Nalla	Shindkhed Raja	II	Earthfill_Embankment	18.52	663	166000	4101000	1000000	3250000	I	725.00
1471	MH09MH1485	PANDERI	18.02166667	73.21416667	1998	West Flowing Rivers from Tapi to Tadri	Local Nala	Madangad	IV	Earthfill_Embankment	23.31	225	317570	4010000	321300	3244000	I	1189.98
853	MH09MH0863	MAHIM KELWA	19.63333333	72.81861111	1981	West Flowing Rivers from Tapi to Tadri	Local Nala	Palghar	III	Earthfill_Embankment	17.8	844	345240	3400000	652000	3243000	I	207.00
1388	MH09LH1402	KOLHI	20.05333333	74.82444444	1996	Godavari	Bornalla	Vajapur	III	Earthfill_Embankment	13.6	790	168000	3640000	1090000	3240000	I	688
80	MH09LH0080	TALWAR	18.75833333	75.16666667	1958	Krishna	talwar	Ashti	III	Earthfill_Embankment	14.36	1584	280330	3773000	1720000	3232000	I	1100
1571	MH09MH1585	MANJRA	20.34861111	78.20361111	1989	Godavari	Manjara	Kallan	II	Earthfill_Embankment	25	760	4203	22130000	750000	3230000	I	6000
1932	MH09MH1971	Mendipada	21.28416667	74.06361111	2002	Tapi	Local Nalla	Nawapur	III	Earthfill_Embankment	15.48	595	447000	3350000	906700	3230000	I	182
1980	MH09MH2019	Bhurivel	21.15583333	73.79638889		Tapi	Local Nalla	Nawapur	III	Earthfill_Embankment	23.30	597	435000	3640000	815000	3230000		322
250	MH09MH0252	GOTALA	18.63472222	76.89472222	1971	Godavari	Local Nalla	Ahmedpur	II	Earthfill_Embankment	15.63	1020	185930	3434000	810000	3216000	I	336
1347	MH09MH1361	TANGAR	17.87555556	73.27722222	1995	West Flowing Rivers from Tapi to Tadri	Local Nala	Dapoli	IV	Earthfill_Embankment	23.01	215	490000	3375000	316620	3216000	I	256
2075	MH09MH2114	Katpur	21.21027778	77.8975	1998	Godavari	Local Nalla	Kava	III	Earthfill_Embankment	11.50	912		3708000	278400	3205000	I	742
1414	MH09MH1428	SONKHADKI	21.11861111	73.87805556	1997	Tapi	Local Nalla	Navapur	III	Earthfill_Embankment	18.48	705	320000	3279000	500000	3203000	I	196.00
1191	MH09MH1204	CHORGEWADI	16.07972222	73.72333333	1989	West Flowing Rivers from Tapi to Tadri	Local Nala	Orosbudrukh	III	Earthfill_Embankment	18.8	1052	260000	3214000	2100000	3200000	I	55.59
2253	MH09MH2292	Dongarkonali	18.56944444	77.15083333	2015	Godavari	Local Nalla	Jalkot	III	Earthfill_Embankment	16.24	396	97616000	4134000	645000	3194000	I	1182
1771	MH09HH1804	ANJNERI	19.93722222	73.59444444	2006	Godavari	Local Nalla	Trimbakeshwar	III	Earthfill_Embankment	28.19	810	479570	3240000	3890000	3190000	I	100.45
2277	MH09MH2316	Charutanda	20.56777778	75.97277778		Tapi	Local Nalla	Soyegaon	IV	Earthfill_Embankment	21.83	592		3585000		3189000		
213	MH09LH0215	SUGAON	18.92027778	77.41805556	1970	Godavari	Local Nalla	Kandhar	II	Earthfill_Embankment	12.04	1043.00	160000	3478000	1246000	3180000	I	445
501	MH09MH0507	WAGHDARE	20.87583333	75.93416667	1975	Godavari	Sivana	Kannad	II	Earthfill_Embankment	15	1085.00	204000	3460000	970000	3170000	I	454.00
1810	MH09MH1849	Kumathe	17.59666667	73.95416667	2001	Krishna	Local Nalla	Satara	IV	Earthfill_Embankment	27.13	871	700000	3400000	444000	3170000	I	143
1349	MH09MH1363	CHARKALI	18.34083333	75.90361111	1995	Krishna	Local Nalla	Kalamb	III	Earthfill_Embankment	17.37	472	0	3434000	440000	3157000	I	291.00
1551	MH09MH1565	PANHALGHAR	18.18055556	73.3675	2001	West Flowing Rivers from Tapi to Tadri	Local Nala	Mangaon	IV	Earthfill_Embankment	19.25	658	397740	3226000	594420	3150000	I	95.90
332	MH09MH0334	KAVALE	18.62833333	73.23305556	1973	West Flowing Rivers from Tapi to Tadri	Local Nala	Sudhagad	III	Earthfill_Embankment	22	440	247530	3294000	565000	3145000	I	150.00
66	MH09LH0066	GUROPIMPRI	18.69861111	74.96027778	1954	Krishna	Bhokri	Karjat	III	Earthfill_Embankment	14.33	945	11000	3851000	122000	3143000	I	717
1742	MH09LH1769	MACHINDRANATH CHINCHOLI	19.48361111	76.015	1994	Godavari	Local Nalla	Ghatravargi	II	Earthfill_Embankment	12.1	990	119000	3317000	1227000	3140000	I	555
1446	MH09MH1460	WAWA	18.195	73.1625	1998	West Flowing Rivers from Tapi to Tadri	Local Nala	Tala	IV	Earthfill_Embankment	20.8	268	317000	3174000	283000	3134000	I/S	140.00
1848	MH09MH1887	Pawale	19.29583333	73.42472222		West Flowing Rivers from Tapi to Tadri	Local Nala	Murbad	III	Earthfill_Embankment	22.96	748	430000	3167000	410000	3123000		73.05
492	MH09MH0498	MORBE	19.06944444	73.2075	1975	West Flowing Rivers from Tapi to Tadri	Local Nala	Panvel	III	Other	22.4	276	15000	3220000	600000	3120000	I	308
261	MH09LH0263	KULTHE	20.67722222	74.73694444	1971	Tapi	DHULE	Dhule	III	Earthfill_Embankment	13.2	1200	2850000	3470000	98000	3110000	I	654.00
2196	MH09MH2235	Shahapur	21.19333333	77.00944444		Tapi	Local Nalla	Akot	III	Earthfill_Embankment	18.61	2287		3440000	1180000	3110000		343.92
1920	MH09MH1959	Matran nalla	27.29444444	75.98333333	2005	Tapi	Tapi	Raver	III	Earthfill_Embankment	24.17	1205	20993	3482000	57490	3108000	I	547.29
927	MH09LH0938	SAROLA	18.25388889	76.57027778	1982	Godavari	Local Nalla	Ausa	II	Earthfill_Embankment	11.64	1580	134000	3478000	1550000	3106000	I	589.00
90	MH09LH0090	SATIGHAT	20.89305556	79.41472222	1963	Godavari	Local Nalla	Kuhi	II	Earthfill_Embankment	12.22	85.37	0	3281000	50000	3103000	I	182
320	MH09MH0322	WALEKHINDI	17.18222222	75.09638889	1973	Krishna	Local Nalla	Jath	III	Earthfill_Embankment	16.18	800.00	104000	4130000	742000	3100000	I	41.00
2304	MH09LH2343	Gandheshwar	20.21138889	75.23555556		Godavari	Local Nalla	Khultabad	IV	Earthfill_Embankment	13.30	1624		4575000		3085000		
431	MH09LH0434	GOVINDWADI	19.23861111	75.74222222	1974	Godavari	Local Nalla	Gevrai	II	Earthfill_Embankment	11.75	2190	164000	3324000	1250000	3078000	I	471
164	MH09MH0165	BANOTI	19.94722222	75.33333333	1968	Godavari	hiwara	Soyegaon	II	Earthfill_Embankment	19.5	491	189000	3370000	680000	3070000	I	525
863	MH09MH0873	KHANDANI	20.06222222	78.70972222	1981	Godavari	Local Nalla	Maregaon	II	Other	18.92	593	183000	3227000	614000	3070000	I	302.00
1183	MH09MH1196	KURHAL	20	77.00833333	1988	Tapi	Khanday	Malegaon	II	Earthfill_Embankment	15.89	464	130000	3570000	830000	3070000	I	801.00
433	MH09MH0436	KAPARA	20.46111111	78.06666667	1974	Godavari	Local Nalla	Babhulgaon	II	Earthfill_Embankment	18.9	505	196000	3366000	213000	3060000	I	491.00
1558	MH09MH1572	UTCHIL	19.21416667	73.68222222	2001	Krishna	Meena	Lonawala	III	Earthfill_Embankment	17.09	453	154700	3119980	560000	3059990	I	201.00
706	MH09MH0713	KANERWADI	18.79638889	76.49305556	1978	Godavari	Local Nalla	Parli	II	Earthfill_Embankment	21.96	332	159000	3294000	532000	3054000	I	403.00
1487	MH09HH1501	RAJEWADI	17.59166667	74.87972222	1999	Krishna	Local Nala	Chiplun	IV	Earthfill_Embankment	39	460	661620	3237000	302580	3053000	I	168.00
2231	MH09MH2270	Doul Hipparga	18.36361111	77.2	2015	Godavari	Local Nalla	Udgir	III	Earthfill_Embankment	17.05	424		4060000	666200	3050000	I	873.67
2255	MH09MH2294	Morphali	16.80694444	76.2625	2010	Godavari	Vaan	Dharur	III	Earthfill_Embankment	21.82	375		3454000		3045000	I	1213.84
1039	MH09MH1051	DAHEGAON GONDI	20.94722222	78.48888889	1984	Godavari	Local Nalla	Arvi	II	Earthfill_Embankment	16.8	410	18500	3240000	630000	3040000	I	315.00
1276	MH09MH1289	VIHIRGAON	20.23472222	78.63416667	1992	Godavari	Local Nalla	Ralegaon	II	Earthfill_Embankment	15.54	930	317000	3179000	989000	3040000	I	226.00
1930	MH09MH1969	Deolipada	21.2025	74.045	2006	Tapi	Local Nalla	Nawapur	III	Earthfill_Embankment	15.67	1440	440000	3340000	1077500	3040000	I	232.12
565	MH09MH0571	PAWASHI	16.02388889	73.70527778	1976	West Flowing Rivers from Tapi to Tadri	Raninalla	Oros budrukh	III	Earthfill_Embankment	17.5	435	80000	3256000	729000	3031000	I	284.58
1983	MH09MH2022	Panbara	20.33833333	70.00166667		Tapi	Tapi	Nawapur	III	Earthfill_Embankment	23.85	615	630000	4130000	918600	3030000		693.15
1913	MH09MH1952	Dahyane	20.32638889	73.99472222	2010	Tapi	Local Nalla	Dhule	III	Earthfill_Embankment	16.32	225	1328	4270000	1000000	3026000	I	734.209
251	MH09LH0253	NANDERA	21.0925	78.85611111	1971	Godavari	Local Nalla	Nagpur	II	Earthfill_Embankment	10.8	594	79000	3356000	42000	3024000	I	355.00
258	MH09LH0260	TRIVENI	21.34083333	77.89138889	1971	Godavari	Local Nalla	Morshi	III	Earthfill_Embankment	14.45	1088	228000	3290000	592000	3013000	I	480.25
2275	MH09MH2314	Deopudi	20.30416667	75.14111111		Godavari	Local Nalla	Kannad	IV	Earthfill_Embankment	23.39	2580		3404000		3012000		
2052	MH09MH2091	Manyad (Vaijapur)	20.14833333	74.73222222	2006	Tapi	Manyad	Vaijapur	II	Earthfill_Embankment	27.10	410	479900	4750000	411570	3010000	I	1325.32
2148	MH09LH2187	Marsul (Purna)	19.22972222	77.13333333	1998	Godavari	Local Nalla	Purna	II	Earthfill_Embankment	12.60	1060	108130	3239000	1240000	3006000	I	406.8
245	MH09MH0247	NIMGAON MAHALUNGI	18.72944444	74.2025	1971	Krishna	Kamini Nalla	Shirur.	III	Earthfill_Embankment	17.3	3140	33000	3370000	852000	3000000	I/S	275
429	MH09MH0432	KOTHARE	21.10722222	74.56777778	1974	Tapi	Shewadinadi	Dhule	III	Earthfill_Embankment	15.75	1503	3680000	3464000	155060	3000000	I	428
2091	MH09LH2130	Lasara Barrage	18.56861111	76.31833333		Godavari	Manjara	Kalamb	IV	Earthfill_Embankment	13.70	119.50	45080	3000000	790000	3000000		4904
662	MH09MH0669	VELHOLI	19.37972222	73.51944444	1978	West Flowing Rivers from Tapi to Tadri	Local Nala	Shahapur	III	Earthfill_Embankment	24.53	319	217000	3245000	700000	2997000	I	103
