Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
1456	MH09MH1470	CHINCHPANI	21.22111111	77.14333333	1998	Tapi	Local Nalla	Akot	III	Earthfill_Embankment	17.25	1035	421000	2270000	509000	2110000	I	302.30
1740	MH09LH1766	SOBALGAON	20.16027778	75.3075	1990	Godavari	Local Nalla	Khultabad	II	Earthfill_Embankment	12	1534	204000	2342000	830000	2109000	I	485.00
286	MH09LH0288	GOSAIKANADI	19.71027778	76.31388889	1972	Godavari	Local Nalla	Ambajogai	III	Earthfill_Embankment	11.94	1126	204120	2272000	902000	2108000	I	279.00
430	MH09MH0433	AMBEBARA	21.58333333	74.21666667	1974	Tapi	Local Nalla	Nandurbar	III	Earthfill_Embankment	24.33	300.00	2100000	2372000	39000	2106000	I	443
419	MH09MH0422	BHILAVALE	18.89944444	73.27388889	1974	West Flowing Rivers from Tapi to Tadri	Local Nala	Khalapur	III	Earthfill_Embankment	20	485	105000	2150000	500000	2100000	I	296
783	MH09LH0791	PIMPRIUHOLE	20.5	74.93333333	1979	Tapi	Local Nalla	Chalisgaon	II	Earthfill_Embankment	13.75	1860	239920	2460000	926000	2100000	I	670
1864	MH09HH1903	Kolwali	18.53472222	74.01777778	2000	Krishna	Mula	Lonawala	III	Earthfill_Embankment	43.50	317	500000	2170000	1388000	2100000	S	90
546	MH09LH0552	GOTHANGAON	20.90527778	79.53361111	1976	Godavari	Local Nalla	Kuhi	II	Earthfill_Embankment	12.99	1303	10100	2200000	604800	2099000	I	130.35
372	MH09MH0374	KAUDGAON	19.085	74.88944444	1973	Krishna	Jamb	Ahmadnagar	III	Earthfill_Embankment	15.55	450	143000	2487000	495000	2096000	I	770.00
641	MH09LH0648	NERLE	18.2775	75.33972222	1977	Krishna	Local Nala	Karmala	III	Earthfill_Embankment	12.15	1230	31000	2747000	1350000	2095000	I	911
